customer_number,offer_accepted,reward,mailer_type,income_level,bank_accounts_open,overdraft_protection,credit_rating,credit_cards_held,homes_owned,household_size,own_your_home,average_balance,q1_balance,q2_balance,q3_balance,q4_balance,customers_balance_view
1,No,Air Miles,Letter,High,1,No,High,2,1,4,No,1160.75,1669.0,877.0,1095.0,1002.0,Q3
2,No,Air Miles,Letter,Medium,1,No,Medium,2,2,5,Yes,147.25,39.0,106.0,78.0,366.0,Q1
3,No,Air Miles,Postcard,High,2,No,Medium,2,1,2,Yes,276.5,367.0,352.0,145.0,242.0,Q2
4,No,Air Miles,Letter,Medium,2,No,High,1,1,4,No,1219.0,1578.0,1760.0,1119.0,419.0,Q3
5,No,Air Miles,Letter,Medium,1,No,Medium,2,1,6,Yes,1211.0,2140.0,1357.0,982.0,365.0,Q3
6,No,Air Miles,Letter,Medium,1,No,High,3,1,4,No,1114.75,1847.0,1365.0,750.0,497.0,Q3
7,No,Air Miles,Letter,Medium,1,No,Medium,2,1,3,No,283.75,468.0,188.0,347.0,132.0,Q2
8,No,Cash Back,Postcard,Low,1,No,Medium,4,1,4,Yes,278.5,132.0,391.0,285.0,306.0,Q2
9,No,Air Miles,Postcard,Medium,1,No,Low,2,1,4,Yes,1005.0,894.0,891.0,882.0,1353.0,Q3
10,No,Air Miles,Letter,High,2,No,Low,3,2,4,Yes,974.25,1814.0,1454.0,514.0,115.0,Q3
11,No,Air Miles,Postcard,Medium,1,No,Medium,3,1,2,Yes,1135.25,762.0,827.0,1454.0,1498.0,Q3
12,No,Cash Back,Postcard,High,1,No,Medium,3,2,5,Yes,1221.0,551.0,1652.0,896.0,1785.0,Q3
13,No,Points,Letter,Medium,1,No,Low,1,1,2,Yes,1150.5,1756.0,1402.0,969.0,475.0,Q3
14,No,Points,Letter,Low,1,No,High,1,1,3,No,1052.25,1996.0,1038.0,439.0,736.0,Q3
15,No,Air Miles,Letter,Low,2,No,High,3,1,3,Yes,1013.25,1819.0,901.0,854.0,479.0,Q3
16,No,Cash Back,Letter,High,1,No,Low,2,1,2,No,1012.25,1715.0,1486.0,713.0,135.0,Q3
17,No,Points,Postcard,Low,2,No,Medium,1,1,4,Yes,1217.0,567.0,1161.0,966.0,2174.0,Q3
18,No,Air Miles,Postcard,Low,2,No,High,2,1,4,Yes,1185.25,272.0,1523.0,2042.0,904.0,Q3
19,No,Points,Postcard,Medium,1,No,Low,1,1,4,No,1059.75,1876.0,1068.0,900.0,395.0,Q3
20,No,Cash Back,Letter,Medium,1,No,High,2,1,5,Yes,1086.75,764.0,997.0,921.0,1665.0,Q3
21,No,Points,Postcard,Low,1,No,High,2,1,4,Yes,1175.25,1234.0,1102.0,1423.0,942.0,Q3
22,No,Points,Letter,Medium,1,No,Low,2,2,3,Yes,811.75,720.0,407.0,1224.0,896.0,Q2
23,No,Cash Back,Letter,High,1,No,High,1,1,3,Yes,1754.0,1876.0,1717.0,1507.0,1916.0,Q4
24,No,Air Miles,Postcard,High,1,No,High,3,1,5,No,689.5,714.0,544.0,753.0,747.0,Q2
25,No,Cash Back,Letter,Low,1,No,Low,2,1,4,Yes,1018.25,1709.0,1087.0,732.0,545.0,Q3
26,No,Cash Back,Postcard,Medium,1,Yes,High,3,2,5,Yes,1130.25,1931.0,1097.0,921.0,572.0,Q3
27,No,Air Miles,Postcard,Low,2,No,Low,3,2,1,Yes,877.0,245.0,816.0,1174.0,1273.0,Q2
28,Yes,Air Miles,Letter,Medium,1,No,Low,1,1,2,No,769.5,54.0,515.0,1204.0,1305.0,Q2
29,No,Cash Back,Postcard,Medium,1,Yes,Low,1,1,3,Yes,709.0,551.0,866.0,790.0,629.0,Q2
30,No,Points,Postcard,High,1,No,Medium,1,1,1,Yes,690.0,687.0,554.0,931.0,588.0,Q2
31,No,Points,Letter,Medium,1,No,High,2,1,3,No,863.25,1306.0,1083.0,632.0,432.0,Q2
32,No,Cash Back,Postcard,Low,2,No,Low,1,1,5,Yes,733.0,781.0,683.0,558.0,910.0,Q2
33,No,Points,Postcard,Low,1,No,High,2,2,4,No,771.0,82.0,456.0,1304.0,1242.0,Q2
34,No,Air Miles,Postcard,Low,3,No,Medium,1,1,4,Yes,659.5,715.0,626.0,746.0,551.0,Q2
35,No,Air Miles,Letter,Medium,1,No,Low,2,1,2,No,1258.0,1713.0,1531.0,1280.0,508.0,Q3
36,No,Points,Letter,High,1,No,High,2,1,4,Yes,875.25,995.0,693.0,946.0,867.0,Q2
37,No,Air Miles,Postcard,Medium,2,No,Medium,2,2,2,Yes,675.75,605.0,632.0,576.0,890.0,Q2
38,No,Air Miles,Postcard,Medium,1,No,Medium,2,1,4,No,1095.75,1866.0,1367.0,691.0,459.0,Q3
39,No,Air Miles,Postcard,High,1,No,Low,1,2,8,No,1285.0,206.0,1499.0,1545.0,1890.0,Q3
40,No,Air Miles,Postcard,Low,1,Yes,Medium,2,1,3,Yes,1079.25,1832.0,1021.0,764.0,700.0,Q3
41,No,Air Miles,Letter,Low,1,Yes,High,1,1,3,Yes,1119.75,1012.0,1148.0,1274.0,1045.0,Q3
42,No,Air Miles,Letter,High,1,No,Medium,3,1,3,Yes,172.0,340.0,26.0,95.0,227.0,Q1
43,No,Cash Back,Postcard,Medium,1,No,Medium,1,1,4,No,834.75,185.0,868.0,1503.0,783.0,Q2
44,No,Air Miles,Letter,High,2,No,Medium,3,1,3,Yes,1044.75,737.0,1252.0,1232.0,958.0,Q3
45,No,Points,Postcard,Medium,1,No,Low,2,1,2,No,838.75,997.0,910.0,504.0,944.0,Q2
46,Yes,Air Miles,Postcard,High,1,Yes,Low,2,1,5,Yes,851.25,206.0,467.0,1744.0,988.0,Q2
47,No,Air Miles,Letter,Medium,1,No,Medium,2,1,6,Yes,1040.25,574.0,911.0,1498.0,1178.0,Q3
48,No,Air Miles,Letter,Low,1,Yes,High,2,1,3,No,987.0,740.0,439.0,1240.0,1529.0,Q3
49,No,Air Miles,Postcard,Medium,1,No,Low,1,2,3,No,822.0,794.0,922.0,757.0,815.0,Q2
50,No,Points,Letter,Medium,2,Yes,High,1,1,5,Yes,650.5,689.0,725.0,513.0,675.0,Q2
51,Yes,Air Miles,Postcard,Low,1,No,High,2,1,2,Yes,931.75,1536.0,1232.0,597.0,362.0,Q2
52,No,Cash Back,Letter,Medium,1,No,Medium,1,1,3,Yes,988.0,1983.0,1127.0,585.0,257.0,Q3
53,No,Points,Letter,Medium,1,No,Medium,1,1,4,No,1145.5,198.0,1671.0,1573.0,1140.0,Q3
54,No,Points,Postcard,Medium,3,No,Low,1,1,4,No,1162.5,688.0,1331.0,1952.0,679.0,Q3
55,No,Air Miles,Postcard,Medium,1,No,High,2,2,3,Yes,954.25,1312.0,1313.0,942.0,250.0,Q3
56,No,Points,Postcard,High,1,No,Medium,4,2,5,Yes,1301.25,2024.0,1796.0,1134.0,251.0,Q3
57,No,Cash Back,Letter,Medium,1,No,Medium,2,1,4,Yes,1148.75,850.0,1559.0,1762.0,424.0,Q3
58,Yes,Air Miles,Postcard,Low,1,No,Medium,1,1,2,Yes,1192.75,1787.0,908.0,1343.0,733.0,Q3
59,No,Cash Back,Postcard,Medium,1,No,High,2,3,2,Yes,1195.5,272.0,1181.0,1491.0,1838.0,Q3
60,No,Air Miles,Postcard,Medium,1,No,High,2,1,3,Yes,1351.5,755.0,1292.0,1736.0,1623.0,Q3
61,No,Cash Back,Postcard,Medium,2,No,High,1,1,4,No,1062.25,430.0,989.0,1827.0,1003.0,Q3
62,No,Cash Back,Letter,Medium,1,No,High,2,1,2,Yes,1147.25,2189.0,970.0,1362.0,68.0,Q3
63,No,Cash Back,Letter,Medium,1,No,Low,1,1,3,Yes,1308.5,1445.0,1232.0,1001.0,1556.0,Q3
64,No,Cash Back,Postcard,Medium,2,No,High,2,1,2,No,363.0,382.0,156.0,443.0,471.0,Q2
65,No,Cash Back,Letter,Medium,1,No,Low,1,2,4,Yes,929.5,341.0,878.0,1543.0,956.0,Q2
66,No,Cash Back,Postcard,Low,1,No,Low,2,1,2,No,718.0,725.0,867.0,715.0,565.0,Q2
67,No,Cash Back,Letter,High,1,No,High,1,1,3,Yes,1193.25,1459.0,703.0,1043.0,1568.0,Q3
68,No,Air Miles,Letter,Medium,1,No,Medium,3,1,2,Yes,957.75,440.0,696.0,892.0,1803.0,Q3
69,No,Points,Postcard,Medium,2,No,Low,2,1,4,No,1050.0,742.0,1197.0,1767.0,494.0,Q3
70,No,Points,Postcard,Medium,2,No,High,2,1,5,Yes,1266.5,660.0,1157.0,1151.0,2098.0,Q3
71,No,Air Miles,Postcard,Medium,1,No,High,4,1,2,Yes,1124.75,220.0,1100.0,1939.0,1240.0,Q3
72,No,Air Miles,Letter,High,3,No,High,2,2,1,No,1059.75,293.0,1774.0,1595.0,577.0,Q3
73,No,Cash Back,Postcard,Medium,1,No,High,1,1,1,No,1014.25,717.0,1289.0,1443.0,608.0,Q3
74,No,Air Miles,Letter,Low,1,No,High,1,1,3,Yes,891.25,1634.0,1019.0,615.0,297.0,Q2
